sec	CH1	CH40	CH41	
1.036	-0.0158691	0.0228027	0	
1.038	-0.0134277	0.0228271	0	
1.04	-0.000610352	0.0227234	0	
1.042	-0.00305176	0.0226624	0	
1.044	-0.012207	0.0225891	0	
1.046	-0.0146484	0.0226074	0	
1.048	-0.00976562	0.022699	0	
1.05	-0.0238037	0.0226379	0	
1.052	-0.0244141	0.0225342	0	
1.054	0	0.0224304	0	
1.056	0	0.0219055	0	
1.058	-0.0109863	0.0217102	0	
1.06	-0.022583	0.0218872	0	
1.062	-0.00732422	0.0218018	0	
1.064	-0.00976562	0.0216003	0	
1.066	0.0115967	0.0216614	0	
1.068	-0.0183105	0.0216492	0	
1.07	-0.00793457	0.0215088	0	
1.072	-0.0390625	0.0214661	0	
1.074	-0.0305176	0.021637	0	
1.076	-0.012207	0.0213806	0	
1.078	0.0299072	0.021521	0	
1.08	0.0012207	0.0210327	0	
1.082	-0.0146484	0.0206787	0	
1.084	-0.0585938	0.0210938	0	
1.086	-0.03479	0.0214355	0	
1.088	-0.0305176	0.021344	0	
1.09	-0.0238037	0.0209778	0	
1.092	-0.0366211	0.0207031	0	
1.094	-0.0268555	0.0205322	0	
1.096	-0.0488281	0.0208313	0	
1.098	-0.0579834	0.0212463	0	
1.1	-0.0378418	0.0213684	0	
1.102	-0.012207	0.0211548	0	
1.104	-0.0280762	0.0212463	0	
1.106	0.00732422	0.0212769	0	
1.108	-0.00854492	0.0213074	0	
1.11	-0.0292969	0.0213501	0	
1.112	-0.0262451	0.0215271	0	
1.114	0.00488281	0.0213562	0	
1.116	-0.00549316	0.0212708	0	
1.118	-0.0311279	0.0211853	0	
1.12	-0.045166	0.0214478	0	
1.122	-0.0476074	0.0218567	0	
1.124	-0.0219727	0.021936	0	
1.126	-0.0299072	0.0218445	0	
1.128	-0.03479	0.0215637	0	
1.13	-0.0415039	0.0214966	0	
1.132	-0.0183105	0.0214111	0	
1.134	-0.00488281	0.0212891	0	
1.136	-0.0286865	0.0215332	0	
1.138	-0.0506592	0.0218628	0	
1.14	-0.0201416	0.0218872	0	
1.142	-0.0158691	0.0219971	0	
1.144	-0.0268555	0.0220459	0	
1.146	-0.0274658	0.0222961	0	
1.148	-0.010376	0.02229	0	
1.15	-0.00671387	0.0219116	0	
1.152	-0.0146484	0.0216553	0	
1.154	0.00366211	0.0214478	0	
1.156	0.00854492	0.0210205	0	
1.158	0.0146484	0.0205505	0	
1.16	-0.00427246	0.0200867	0	
1.162	0.00305176	0.0196594	0	
1.164	-0.00671387	0.0193542	0	
1.166	0.0256348	0.0193604	0	
1.168	-0.00915527	0.0192566	0	
1.17	-0.0213623	0.0192749	0	
1.172	-0.020752	0.0193481	0	
1.174	-0.0256348	0.0194397	0	
1.176	-0.0201416	0.0194092	0	
1.178	-0.0311279	0.0194702	0	
1.18	-0.0268555	0.0193542	0	
1.182	-0.0140381	0.0194458	0	
1.184	-0.0219727	0.0193909	0	
1.186	-0.0177002	0.0192749	0	
1.188	-0.000610352	0.019165	0	
1.19	-0.0231934	0.0190918	0	
1.192	0.000610352	0.0189636	0	
1.194	0.0146484	0.019043	0	
1.196	0.0109863	0.0191223	0	
1.198	-0.0244141	0.0191223	0	
